Receiver Continent,Agriculture,Authorities-Stakeholders,Diverse,Environment,Fishery,Forestry,Health,Public and social welfare
Africa,3451.56,1314.18,191.07,2145.93,0.00,0.00,0.00,0.00
Asia,6846.27,385.85,36360.42,201.17,5.91,0.00,1.70,2183.75
Europe,10239.30,1343.66,1955.14,5.61,13.74,154.81,1682.45,185.51
North America,37596.42,15989.58,35444.22,215.13,468.57,13985.61,23.07,277457.85
Oceania,7343.79,1183.91,620.13,186.62,0.00,265.74,82.45,11.69
South America,3389.91,137.42,3966.44,0.00,0.00,1.66,20.82,1.72
,,,,,,,,
Origin_cont,Agriculture,Authorities-Stakeholders,Diverse,Environment,Fishery,Forestry,Health,Public and social welfare
Africa,10652.19,3338.07,43912.79,101.22,147.10,1541.69,36.48,268.00
Asia,16949.98,4943.45,27780.54,307.20,67.06,3908.64,2.73,273525.00
Europe,13659.00,6535.73,4641.52,102.28,146.30,8931.59,13.59,1511.64
North America,16593.47,2159.59,432.18,55.95,124.25,25.90,1683.13,103.82
Oceania,864.45,712.30,24.40,2185.42,0.00,0.00,47.31,592.54
South America,10148.15,2665.47,1745.99,2.39,3.51,0.00,27.26,3839.51
